name,party,status,reason,profileUrl,currentImage,imageSource,imageSourceUrl,preferredSourceType,searchHints,checkedSources,candidatePageUrls,notes
"安藤たかお","自由民主党・無所属の会","missing","no_image","","","","","official_or_party","衆議院 | 自由民主党・無所属の会 | 議員 | 安藤たかお | プロフィール | 顔写真","","",""
"宇佐美登","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 宇佐美登 | プロフィール | 顔写真","","",""
"河合道雄","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 河合道雄 | プロフィール | 顔写真","","",""
"小林修平","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 小林修平 | プロフィール | 顔写真","","",""
"林拓海","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 林拓海 | プロフィール | 顔写真","","",""
"古川あおい","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 古川あおい | プロフィール | 顔写真","","",""
"峰島侑也","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 峰島侑也 | プロフィール | 顔写真","","",""
"武藤かず子","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 武藤かず子 | プロフィール | 顔写真","","",""
"山田瑛理","チームみらい","missing","no_image","","","","","official_or_party","衆議院 | チームみらい | 議員 | 山田瑛理 | プロフィール | 顔写真","","",""
"緒方林太郎","無所属","missing","no_image","","","","","official_or_party","衆議院 | 無所属 | 議員 | 緒方林太郎 | プロフィール | 顔写真","","",""
"中村はやと","無所属","missing","no_image","","","","","official_or_party","衆議院 | 無所属 | 議員 | 中村はやと | プロフィール | 顔写真","","",""
"渡辺真太朗","無所属","missing","no_image","","","","","official_or_party","衆議院 | 無所属 | 議員 | 渡辺真太朗 | プロフィール | 顔写真","","",""
